,alpha,beta,l1,l2,cum_gain
0,0.05,0.05,0.05,0.05,0.13739549681376048
1,0.05,0.05,0.05,0.1,0.13739549681376048
2,0.05,0.05,0.05,0.5,0.13739549681376048
3,0.05,0.05,0.05,1.0,0.13739549681376048
4,0.05,0.05,0.05,1.5,0.12244030869668991
5,0.05,0.05,0.05,2.0,0.12244030869668991
6,0.05,0.05,0.1,0.05,0.20584771514539577
7,0.05,0.05,0.1,0.1,0.20584771514539577
8,0.05,0.05,0.1,0.5,0.20584771514539577
9,0.05,0.05,0.1,1.0,0.20584771514539577
10,0.05,0.05,0.1,1.5,0.18999247440366857
11,0.05,0.05,0.1,2.0,0.18999247440366857
12,0.05,0.05,0.5,0.05,0.12357468087290313
13,0.05,0.05,0.5,0.1,0.12357468087290313
14,0.05,0.05,0.5,0.5,0.12357468087290313
15,0.05,0.05,0.5,1.0,0.12357468087290313
16,0.05,0.05,0.5,1.5,0.12357468087290313
17,0.05,0.05,0.5,2.0,0.12357468087290313
18,0.05,0.05,1.0,0.05,0.13108384537171622
19,0.05,0.05,1.0,0.1,0.11621164679953812
20,0.05,0.05,1.0,0.5,0.11621164679953812
21,0.05,0.05,1.0,1.0,0.11621164679953812
22,0.05,0.05,1.0,1.5,0.11621164679953812
23,0.05,0.05,1.0,2.0,0.024287957328515082
24,0.05,0.05,1.5,0.05,0.06467283059363227
25,0.05,0.05,1.5,0.1,0.06467283059363227
26,0.05,0.05,1.5,0.5,0.09431456088980256
27,0.05,0.05,1.5,1.0,0.1277292817585951
28,0.05,0.05,1.5,1.5,0.12137178422094415
29,0.05,0.05,1.5,2.0,0.23830262128524168
30,0.05,0.05,2.0,0.05,-0.3569119002505867
31,0.05,0.05,2.0,0.1,-0.31129583914187503
32,0.05,0.05,2.0,0.5,-0.3059855494213191
33,0.05,0.05,2.0,1.0,-0.26579412121404034
34,0.05,0.05,2.0,1.5,-0.2835851073332526
35,0.05,0.05,2.0,2.0,-0.28769323175963213
36,0.05,0.1,0.05,0.05,0.13739549681376048
37,0.05,0.1,0.05,0.1,0.13739549681376048
38,0.05,0.1,0.05,0.5,0.12244030869668991
39,0.05,0.1,0.05,1.0,0.12244030869668991
40,0.05,0.1,0.05,1.5,0.12244030869668991
41,0.05,0.1,0.05,2.0,0.12244030869668991
42,0.05,0.1,0.1,0.05,0.20584771514539577
43,0.05,0.1,0.1,0.1,0.18999247440366857
44,0.05,0.1,0.1,0.5,0.18999247440366857
45,0.05,0.1,0.1,1.0,0.18999247440366857
46,0.05,0.1,0.1,1.5,0.18999247440366857
47,0.05,0.1,0.1,2.0,0.18999247440366857
48,0.05,0.1,0.5,0.05,0.12357468087290313
49,0.05,0.1,0.5,0.1,0.12357468087290313
50,0.05,0.1,0.5,0.5,0.12357468087290313
51,0.05,0.1,0.5,1.0,0.12357468087290313
52,0.05,0.1,0.5,1.5,0.12947482283545403
53,0.05,0.1,0.5,2.0,0.016866669980618428
54,0.05,0.1,1.0,0.05,0.11621164679953812
55,0.05,0.1,1.0,0.1,0.11621164679953812
56,0.05,0.1,1.0,0.5,0.11621164679953812
57,0.05,0.1,1.0,1.0,0.024287957328515082
58,0.05,0.1,1.0,1.5,0.024287957328515082
59,0.05,0.1,1.0,2.0,0.10777184203979531
