,alpha,beta,l1,l2,cum_gain
0,0.05,0.05,0.05,0.05,1.1431091712441983
1,0.05,0.05,0.05,0.1,1.2018697960870068
2,0.05,0.05,0.05,0.5,1.2492322717886917
3,0.05,0.05,0.05,1.0,1.3450594325708132
4,0.05,0.05,0.05,1.5,1.2813145704410716
5,0.05,0.05,0.05,2.0,1.0845970397986724
6,0.05,0.05,0.1,0.05,1.1958099611348487
7,0.05,0.05,0.1,0.1,1.1958099611348487
8,0.05,0.05,0.1,0.5,0.8066774921389573
9,0.05,0.05,0.1,1.0,0.745377584444046
10,0.05,0.05,0.1,1.5,0.5045534551553373
11,0.05,0.05,0.1,2.0,0.6615922407485737
12,0.05,0.05,0.5,0.05,0.9166905735110374
13,0.05,0.05,0.5,0.1,0.80515784580069
14,0.05,0.05,0.5,0.5,0.5959093774705577
15,0.05,0.05,0.5,1.0,0.7544348048188108
16,0.05,0.05,0.5,1.5,0.44566035625534073
17,0.05,0.05,0.5,2.0,0.713768429685429
18,0.05,0.05,1.0,0.05,0.6203706196168538
19,0.05,0.05,1.0,0.1,0.6440492601913969
20,0.05,0.05,1.0,0.5,0.2172334755523423
21,0.05,0.05,1.0,1.0,0.29724949321578026
22,0.05,0.05,1.0,1.5,0.27102692561040265
23,0.05,0.05,1.0,2.0,0.3717479110327067
24,0.05,0.05,1.5,0.05,0.28081919171383224
25,0.05,0.05,1.5,0.1,0.28081919171383224
26,0.05,0.05,1.5,0.5,0.34418885922436115
27,0.05,0.05,1.5,1.0,0.7104365911033187
28,0.05,0.05,1.5,1.5,0.6480183911316645
29,0.05,0.05,1.5,2.0,0.7457367999243041
30,0.05,0.05,2.0,0.05,0.7183094219796352
31,0.05,0.05,2.0,0.1,0.7246190094387468
32,0.05,0.05,2.0,0.5,0.7563420272171077
33,0.05,0.05,2.0,1.0,0.5747639213835305
34,0.05,0.05,2.0,1.5,1.484085424019125
35,0.05,0.05,2.0,2.0,1.5114618749761697
36,0.05,0.1,0.05,0.05,1.3450594325708132
37,0.05,0.1,0.05,0.1,1.3272025856922223
38,0.05,0.1,0.05,0.5,1.2813145704410716
39,0.05,0.1,0.05,1.0,1.0845970397986724
40,0.05,0.1,0.05,1.5,0.9046157469055337
41,0.05,0.1,0.05,2.0,1.1820086858183914
42,0.05,0.1,0.1,0.05,0.745377584444046
43,0.05,0.1,0.1,0.1,0.6438136045466836
44,0.05,0.1,0.1,0.5,0.5045534551553373
45,0.05,0.1,0.1,1.0,0.6615922407485737
46,0.05,0.1,0.1,1.5,0.5524474579234503
47,0.05,0.1,0.1,2.0,0.815074306063813
48,0.05,0.1,0.5,0.05,0.5756549766945301
49,0.05,0.1,0.5,0.1,0.4540202805998595
50,0.05,0.1,0.5,0.5,0.44566035625534073
51,0.05,0.1,0.5,1.0,0.713768429685429
52,0.05,0.1,0.5,1.5,0.277883933032344
53,0.05,0.1,0.5,2.0,0.26572271435666994
54,0.05,0.1,1.0,0.05,0.29724949321578026
55,0.05,0.1,1.0,0.1,0.24835741219595392
56,0.05,0.1,1.0,0.5,0.27102692561040265
57,0.05,0.1,1.0,1.0,0.3717479110327067
58,0.05,0.1,1.0,1.5,0.32999010373362214
59,0.05,0.1,1.0,2.0,0.5432427632545375
60,0.05,0.1,1.5,0.05,0.681679752505098
61,0.05,0.1,1.5,0.1,0.681679752505098
62,0.05,0.1,1.5,0.5,0.6480183911316645
63,0.05,0.1,1.5,1.0,0.7457367999243041
64,0.05,0.1,1.5,1.5,0.6730398689837868
65,0.05,0.1,1.5,2.0,1.0989166460789173
66,0.05,0.1,2.0,0.05,0.5499516867349417
67,0.05,0.1,2.0,0.1,0.5499516867349417
68,0.05,0.1,2.0,0.5,1.484085424019125
69,0.05,0.1,2.0,1.0,1.5114618749761697
70,0.05,0.1,2.0,1.5,1.7434488818789604
71,0.05,0.1,2.0,2.0,1.3115862019565885
72,0.05,0.5,0.05,0.05,1.6293400868626269
73,0.05,0.5,0.05,0.1,1.6049755203811655
74,0.05,0.5,0.05,0.5,1.646860268504635
75,0.05,0.5,0.05,1.0,1.8522795597591901
76,0.05,0.5,0.05,1.5,1.7713347707388711
77,0.05,0.5,0.05,2.0,1.5511409319718443
78,0.05,0.5,0.1,0.05,0.7122092579432237
79,0.05,0.5,0.1,0.1,0.6319581195796099
80,0.05,0.5,0.1,0.5,0.7059123740281974
81,0.05,0.5,0.1,1.0,0.9237104845504845
82,0.05,0.5,0.1,1.5,1.2567382250059187
83,0.05,0.5,0.1,2.0,1.3669982126292073
84,0.05,0.5,0.5,0.05,1.1568193941030442
85,0.05,0.5,0.5,0.1,1.1568193941030442
86,0.05,0.5,0.5,0.5,1.2912157325973233
87,0.05,0.5,0.5,1.0,1.0949085742421782
88,0.05,0.5,0.5,1.5,1.3870480686632303
89,0.05,0.5,0.5,2.0,1.2860193352033216
90,0.05,0.5,1.0,0.05,1.0888019533567388
91,0.05,0.5,1.0,0.1,0.953886409732951
92,0.05,0.5,1.0,0.5,1.1668690163344995
93,0.05,0.5,1.0,1.0,1.006651773954416
94,0.05,0.5,1.0,1.5,1.147582937663156
95,0.05,0.5,1.0,2.0,0.9433123829441213
96,0.05,0.5,1.5,0.05,1.2937424975560785
97,0.05,0.5,1.5,0.1,1.2494338229642272
98,0.05,0.5,1.5,0.5,1.1770047263401173
99,0.05,0.5,1.5,1.0,1.2724022050468415
