,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
0,1,0.008112874779541335,0.018122977346278393,0.018122977346278393,0.008112874779541335,0.008112874779541335,0.00013778322106539827
1,2,0.014109347442680725,0.03462783171521037,0.03462783171521037,0.024455454758484887,0.017741970956793505,0.0026178812002448297
2,3,0.01220610812936951,0.04411112989775121,0.03268608414239488,0.022532798290373916,0.01583191408293031,-0.01997856705450102
3,4,0.006400345421675961,0.054305675443982654,0.03365695792880268,0.02349412652442946,0.016786942519861965,-0.044320269442743476
4,5,-0.012547867120899028,0.07019019989973868,0.026860841423948286,0.016764828886040885,0.010101743461340617,-0.046830985915493
5,6,0.06646260404719694,0.0645002209902141,0.037864077669902976,0.027659882205336623,0.020925399079898942,-0.02270361298224133
6,7,0.08398076281297395,0.05952148944438011,0.05436893203883496,0.044002462184280174,0.03716088250773637,-0.017146356399265223
7,8,0.10292897535554907,0.05454275789854613,0.06407766990291276,0.053615744524835376,0.04671116687705268,0.005802204531536993
8,9,0.02785115207364778,0.07907238974784307,0.06860841423948237,0.05810194295042776,0.051167966249400246,0.02829148805878736
9,10,0.04530584962568337,0.0818493292024804,0.09385113268608412,0.08309647703587074,0.0759987056096221,0.028230251071647186
10,11,0.06424254980006167,0.08300638730857926,0.10582524271844673,0.09495285858922213,0.08777738966511218,0.025719534598897666
11,12,0.07099389507962282,0.09804814268786521,0.09223300970873793,0.08149426331244498,0.07440699154806948,0.021126760563380212
12,13,0.05847920626872924,0.09018014756639255,0.09449838187702274,0.08373736252524117,0.07663539123424327,0.027617881200244894
13,14,0.05032398927019013,0.08763461973297496,0.09320388349514575,0.08245559154650052,0.07536201998500114,0.035563380281689996
14,15,0.05032398927019013,0.08508909189955736,0.1245954692556635,0.11353853778096186,0.10624127277912339,0.04588181261481922
15,16,-0.0043839247616767624,0.07438172525683642,0.12944983818770228,0.11834517895123935,0.11101641496378142,0.041656460502143174
16,17,-0.0059016321934424135,0.08896196919586051,0.1288025889967639,0.11770429346186914,0.11037972933916047,0.06096142069810155
17,18,0.0029010709107988343,0.12131188543557021,0.1288025889967639,0.11770429346186914,0.11037972933916047,0.06448254745866504
18,19,0.0010672412402996838,0.11926153863164503,0.14174757281553407,0.13052200324927585,0.12311344183158199,0.07157072872014696
19,20,-0.0034031394142418647,0.09351829542680559,0.1323624595469257,0.12122916365340598,0.11388150027457639,0.041028781383955826
20,21,-0.0183489123713352,0.08486127558800999,0.12491909385113266,0.11385898052564697,0.10655961559143386,0.028475199020208054
21,22,-0.02211537242050032,0.0878228876381243,0.11877022653721687,0.10777056837662884,0.10051110215753369,0.04277403551745244
22,23,-0.007901933066147128,0.07734333730695074,0.15922330097087384,0.14782591146227494,0.1403039536963511,0.1012400489895897
23,24,0.017993571612663534,0.10546389349162248,0.1970873786407768,0.18531771259043978,0.17755006273668425,0.11928965094917324
24,25,0.007485250873435998,0.09405265330074118,0.20906148867313917,0.19717409414379095,0.18932874679217412,0.1218922229026332
25,26,0.012927059827678791,0.09996204554244753,0.13268608414239486,0.12154960639809112,0.1141998430868869,0.12816901408450693
26,27,0.0012928475806769694,0.0873281724739719,0.10194174757281547,0.09110754565299999,0.08395727591738558,0.14030924678505816
27,28,0.00025407916486431696,0.07265657794283886,0.10474688038149635,0.08501913350398185,0.07790876248348541,0.12888854868340469
28,29,0.004169437039850677,0.0848829067187831,0.07132300979670585,0.10777056837662886,0.10051110215753371,0.14473361910593993
29,30,-0.0006888029356426365,0.10342617202896509,0.084958593375258,0.12187004914277622,0.11451818589919736,0.14638701775872628
30,31,0.0039248221662242025,0.1085204756856085,0.0719428090502765,0.10841145386599929,0.1011477877821549,0.15632271892222888
31,32,0.02694954310521075,0.10811293139307711,0.08309919561454648,0.11994739267466535,0.11260812902533429,0.17480072925541057
32,33,0.0327762071795666,0.11911662729142689,0.11935745194842383,0.15743919380282995,0.1498542380656672,0.17623704812983393
33,34,0.026698933897711625,0.10362994417523078,0.14259992395731969,0.1814723996542176,0.17372994898895763,0.16568859876175776
34,35,0.03326176251909616,0.09038475466795791,0.1469385187323136,0.18595859807981,0.17818674836130521,0.17515981862669708
35,36,0.054516555930119975,0.09323756471567825,0.16243350007157747,0.20198073531406843,0.19410388897683217,0.20503058896996704
36,37,0.04253430319656574,0.08651308388890896,0.15747510604301312,0.19685365139910585,0.18901040397986366,0.18912379663269735
37,38,0.006117652731841953,0.07673202086815366,0.141670225076964,0.1805110714201623,0.1727749205520262,0.1999307013503843
38,39,0.01676873537476844,0.09558094439773426,0.15375631052158964,0.19300833846288365,0.185190290232137,0.19240229581671472
39,40,0.017041840057920542,0.07938105876960815,0.15406621014837507,0.19332878120756897,0.1855086330444477,0.1788025954978275
