,alpha,beta,l1,l2,cum_gain
0,0.01,0.01,0.01,0.01,0.7977072310405636
1,0.01,0.01,0.01,0.05,0.7977072310405636
2,0.01,0.01,0.01,0.1,0.7977072310405636
3,0.01,0.01,0.01,0.5,0.7977072310405636
4,0.01,0.01,0.01,1.0,0.7977072310405636
5,0.01,0.01,0.01,1.5,0.7977072310405636
6,0.01,0.01,0.01,2.0,0.7977072310405636
7,0.01,0.01,0.05,0.01,0.7977072310405636
8,0.01,0.01,0.05,0.05,0.7977072310405636
9,0.01,0.01,0.05,0.1,0.7977072310405636
10,0.01,0.01,0.05,0.5,0.7977072310405636
11,0.01,0.01,0.05,1.0,0.7977072310405636
12,0.01,0.01,0.05,1.5,0.7977072310405636
13,0.01,0.01,0.05,2.0,0.7977072310405636
14,0.01,0.01,0.1,0.01,0.7977072310405636
15,0.01,0.01,0.1,0.05,0.7977072310405636
16,0.01,0.01,0.1,0.1,0.7977072310405636
17,0.01,0.01,0.1,0.5,0.7977072310405636
18,0.01,0.01,0.1,1.0,0.7977072310405636
19,0.01,0.01,0.1,1.5,0.7977072310405636
20,0.01,0.01,0.1,2.0,0.7977072310405636
21,0.01,0.01,0.5,0.01,0.7977072310405636
22,0.01,0.01,0.5,0.05,0.7977072310405636
23,0.01,0.01,0.5,0.1,0.7977072310405636
24,0.01,0.01,0.5,0.5,0.7977072310405636
25,0.01,0.01,0.5,1.0,0.7977072310405636
26,0.01,0.01,0.5,1.5,0.7977072310405636
27,0.01,0.01,0.5,2.0,0.7977072310405636
28,0.01,0.01,1.0,0.01,0.7977072310405636
29,0.01,0.01,1.0,0.05,0.7977072310405636
30,0.01,0.01,1.0,0.1,0.7977072310405636
31,0.01,0.01,1.0,0.5,0.7977072310405636
32,0.01,0.01,1.0,1.0,0.7977072310405636
33,0.01,0.01,1.0,1.5,0.7977072310405636
34,0.01,0.01,1.0,2.0,0.7977072310405636
35,0.01,0.01,1.5,0.01,0.7977072310405636
36,0.01,0.01,1.5,0.05,0.7977072310405636
37,0.01,0.01,1.5,0.1,0.7977072310405636
38,0.01,0.01,1.5,0.5,0.7977072310405636
39,0.01,0.01,1.5,1.0,0.7977072310405636
40,0.01,0.01,1.5,1.5,0.7977072310405636
41,0.01,0.01,1.5,2.0,0.7977072310405636
42,0.01,0.01,2.0,0.01,0.7977072310405636
43,0.01,0.01,2.0,0.05,0.7977072310405636
44,0.01,0.01,2.0,0.1,0.7977072310405636
45,0.01,0.01,2.0,0.5,0.7977072310405636
46,0.01,0.01,2.0,1.0,0.7977072310405636
47,0.01,0.01,2.0,1.5,0.7977072310405636
48,0.01,0.01,2.0,2.0,0.7977072310405636
49,0.01,0.05,0.01,0.01,0.7977072310405636
50,0.01,0.05,0.01,0.05,0.7977072310405636
51,0.01,0.05,0.01,0.1,0.7977072310405636
52,0.01,0.05,0.01,0.5,0.7977072310405636
53,0.01,0.05,0.01,1.0,0.7977072310405636
54,0.01,0.05,0.01,1.5,0.7977072310405636
55,0.01,0.05,0.01,2.0,0.7977072310405636
56,0.01,0.05,0.05,0.01,0.7977072310405636
57,0.01,0.05,0.05,0.05,0.7977072310405636
58,0.01,0.05,0.05,0.1,0.7977072310405636
59,0.01,0.05,0.05,0.5,0.7977072310405636
60,0.01,0.05,0.05,1.0,0.7977072310405636
61,0.01,0.05,0.05,1.5,0.7977072310405636
62,0.01,0.05,0.05,2.0,0.7977072310405636
63,0.01,0.05,0.1,0.01,0.7977072310405636
64,0.01,0.05,0.1,0.05,0.7977072310405636
65,0.01,0.05,0.1,0.1,0.7977072310405636
