,alpha,beta,l1,l2,cum_gain
0,0.05,0.05,0.05,0.05,0.7977072310405636
1,0.05,0.05,0.05,0.1,0.7977072310405636
2,0.05,0.05,0.05,0.5,0.7977072310405636
3,0.05,0.05,0.05,1.0,0.7977072310405636
4,0.05,0.05,0.05,1.5,0.7977072310405636
5,0.05,0.05,0.05,2.0,0.7977072310405636
6,0.05,0.05,0.1,0.05,0.7977072310405636
7,0.05,0.05,0.1,0.1,0.7977072310405636
8,0.05,0.05,0.1,0.5,0.7977072310405636
9,0.05,0.05,0.1,1.0,0.7977072310405636
10,0.05,0.05,0.1,1.5,0.7977072310405636
11,0.05,0.05,0.1,2.0,0.7977072310405636
12,0.05,0.05,0.5,0.05,0.7977072310405636
13,0.05,0.05,0.5,0.1,0.7977072310405636
14,0.05,0.05,0.5,0.5,0.7977072310405636
15,0.05,0.05,0.5,1.0,0.7977072310405636
16,0.05,0.05,0.5,1.5,0.7977072310405636
17,0.05,0.05,0.5,2.0,0.7977072310405636
18,0.05,0.05,1.0,0.05,0.7977072310405636
19,0.05,0.05,1.0,0.1,0.7977072310405636
20,0.05,0.05,1.0,0.5,0.7977072310405636
21,0.05,0.05,1.0,1.0,0.7977072310405636
22,0.05,0.05,1.0,1.5,0.7977072310405636
23,0.05,0.05,1.0,2.0,0.7977072310405636
24,0.05,0.05,1.5,0.05,0.7977072310405636
25,0.05,0.05,1.5,0.1,0.7977072310405636
26,0.05,0.05,1.5,0.5,0.7977072310405636
27,0.05,0.05,1.5,1.0,0.7977072310405636
28,0.05,0.05,1.5,1.5,0.7977072310405636
29,0.05,0.05,1.5,2.0,0.7977072310405636
30,0.05,0.05,2.0,0.05,0.7977072310405636
31,0.05,0.05,2.0,0.1,0.7977072310405636
32,0.05,0.05,2.0,0.5,0.7977072310405636
33,0.05,0.05,2.0,1.0,0.7977072310405636
34,0.05,0.05,2.0,1.5,0.7977072310405636
35,0.05,0.05,2.0,2.0,0.7977072310405636
36,0.05,0.1,0.05,0.05,0.7977072310405636
37,0.05,0.1,0.05,0.1,0.7977072310405636
38,0.05,0.1,0.05,0.5,0.7977072310405636
39,0.05,0.1,0.05,1.0,0.7977072310405636
40,0.05,0.1,0.05,1.5,0.7977072310405636
41,0.05,0.1,0.05,2.0,0.7977072310405636
42,0.05,0.1,0.1,0.05,0.7977072310405636
43,0.05,0.1,0.1,0.1,0.7977072310405636
44,0.05,0.1,0.1,0.5,0.7977072310405636
45,0.05,0.1,0.1,1.0,0.7977072310405636
46,0.05,0.1,0.1,1.5,0.7977072310405636
47,0.05,0.1,0.1,2.0,0.7977072310405636
48,0.05,0.1,0.5,0.05,0.7977072310405636
49,0.05,0.1,0.5,0.1,0.7977072310405636
50,0.05,0.1,0.5,0.5,0.7977072310405636
51,0.05,0.1,0.5,1.0,0.7977072310405636
52,0.05,0.1,0.5,1.5,0.7977072310405636
53,0.05,0.1,0.5,2.0,0.7977072310405636
54,0.05,0.1,1.0,0.05,0.7977072310405636
55,0.05,0.1,1.0,0.1,0.7977072310405636
56,0.05,0.1,1.0,0.5,0.7977072310405636
57,0.05,0.1,1.0,1.0,0.7977072310405636
58,0.05,0.1,1.0,1.5,0.7977072310405636
59,0.05,0.1,1.0,2.0,0.7977072310405636
60,0.05,0.1,1.5,0.05,0.7977072310405636
61,0.05,0.1,1.5,0.1,0.7977072310405636
62,0.05,0.1,1.5,0.5,0.7977072310405636
63,0.05,0.1,1.5,1.0,0.7977072310405636
64,0.05,0.1,1.5,1.5,0.7977072310405636
65,0.05,0.1,1.5,2.0,0.7977072310405636
66,0.05,0.1,2.0,0.05,0.7977072310405636
67,0.05,0.1,2.0,0.1,0.7977072310405636
68,0.05,0.1,2.0,0.5,0.7977072310405636
69,0.05,0.1,2.0,1.0,0.7977072310405636
70,0.05,0.1,2.0,1.5,0.7977072310405636
71,0.05,0.1,2.0,2.0,0.7977072310405636
72,0.05,0.5,0.05,0.05,0.7977072310405636
73,0.05,0.5,0.05,0.1,0.7977072310405636
74,0.05,0.5,0.05,0.5,0.7977072310405636
75,0.05,0.5,0.05,1.0,0.7977072310405636
76,0.05,0.5,0.05,1.5,0.7977072310405636
77,0.05,0.5,0.05,2.0,0.7977072310405636
78,0.05,0.5,0.1,0.05,0.7977072310405636
79,0.05,0.5,0.1,0.1,0.7977072310405636
80,0.05,0.5,0.1,0.5,0.7977072310405636
81,0.05,0.5,0.1,1.0,0.7977072310405636
82,0.05,0.5,0.1,1.5,0.7977072310405636
83,0.05,0.5,0.1,2.0,0.7977072310405636
84,0.05,0.5,0.5,0.05,0.7977072310405636
85,0.05,0.5,0.5,0.1,0.7977072310405636
86,0.05,0.5,0.5,0.5,0.7977072310405636
87,0.05,0.5,0.5,1.0,0.7977072310405636
88,0.05,0.5,0.5,1.5,0.7977072310405636
89,0.05,0.5,0.5,2.0,0.7977072310405636
90,0.05,0.5,1.0,0.05,0.7977072310405636
91,0.05,0.5,1.0,0.1,0.7977072310405636
92,0.05,0.5,1.0,0.5,0.7977072310405636
93,0.05,0.5,1.0,1.0,0.7977072310405636
94,0.05,0.5,1.0,1.5,0.7977072310405636
95,0.05,0.5,1.0,2.0,0.7977072310405636
96,0.05,0.5,1.5,0.05,0.7977072310405636
97,0.05,0.5,1.5,0.1,0.7977072310405636
98,0.05,0.5,1.5,0.5,0.7977072310405636
99,0.05,0.5,1.5,1.0,0.7977072310405636
100,0.05,0.5,1.5,1.5,0.7977072310405636
101,0.05,0.5,1.5,2.0,0.7977072310405636
102,0.05,0.5,2.0,0.05,0.7977072310405636
103,0.05,0.5,2.0,0.1,0.7977072310405636
104,0.05,0.5,2.0,0.5,0.7977072310405636
105,0.05,0.5,2.0,1.0,0.7977072310405636
106,0.05,0.5,2.0,1.5,0.7977072310405636
107,0.05,0.5,2.0,2.0,0.7977072310405636
108,0.05,1.0,0.05,0.05,0.7977072310405636
109,0.05,1.0,0.05,0.1,0.7977072310405636
110,0.05,1.0,0.05,0.5,0.7977072310405636
111,0.05,1.0,0.05,1.0,0.7977072310405636
112,0.05,1.0,0.05,1.5,0.7977072310405636
113,0.05,1.0,0.05,2.0,0.7977072310405636
114,0.05,1.0,0.1,0.05,0.7977072310405636
115,0.05,1.0,0.1,0.1,0.7977072310405636
116,0.05,1.0,0.1,0.5,0.7977072310405636
117,0.05,1.0,0.1,1.0,0.7977072310405636
118,0.05,1.0,0.1,1.5,0.7977072310405636
119,0.05,1.0,0.1,2.0,0.7977072310405636
120,0.05,1.0,0.5,0.05,0.7977072310405636
121,0.05,1.0,0.5,0.1,0.7977072310405636
122,0.05,1.0,0.5,0.5,0.7977072310405636
123,0.05,1.0,0.5,1.0,0.7977072310405636
124,0.05,1.0,0.5,1.5,0.7977072310405636
125,0.05,1.0,0.5,2.0,0.7977072310405636
126,0.05,1.0,1.0,0.05,0.7977072310405636
127,0.05,1.0,1.0,0.1,0.7977072310405636
128,0.05,1.0,1.0,0.5,0.7977072310405636
129,0.05,1.0,1.0,1.0,0.7977072310405636
130,0.05,1.0,1.0,1.5,0.7977072310405636
131,0.05,1.0,1.0,2.0,0.7977072310405636
132,0.05,1.0,1.5,0.05,0.6964600485640344
133,0.05,1.0,1.5,0.1,0.6964600485640344
134,0.05,1.0,1.5,0.5,0.6964600485640344
135,0.05,1.0,1.5,1.0,0.6964600485640344
136,0.05,1.0,1.5,1.5,0.7140490907451157
137,0.05,1.0,1.5,2.0,0.6977379276473471
138,0.05,1.0,2.0,0.05,0.7977072310405636
139,0.05,1.0,2.0,0.1,0.7977072310405636
140,0.05,1.0,2.0,0.5,0.7977072310405636
141,0.05,1.0,2.0,1.0,0.7977072310405636
142,0.05,1.0,2.0,1.5,0.6964600485640344
143,0.05,1.0,2.0,2.0,0.6964600485640344
144,0.05,1.5,0.05,0.05,0.7977072310405636
145,0.05,1.5,0.05,0.1,0.7977072310405636
146,0.05,1.5,0.05,0.5,0.7977072310405636
147,0.05,1.5,0.05,1.0,0.7977072310405636
148,0.05,1.5,0.05,1.5,0.7977072310405636
149,0.05,1.5,0.05,2.0,0.7977072310405636
150,0.05,1.5,0.1,0.05,0.7977072310405636
151,0.05,1.5,0.1,0.1,0.7977072310405636
152,0.05,1.5,0.1,0.5,0.7977072310405636
153,0.05,1.5,0.1,1.0,0.7977072310405636
154,0.05,1.5,0.1,1.5,0.7977072310405636
155,0.05,1.5,0.1,2.0,0.7977072310405636
156,0.05,1.5,0.5,0.05,0.682809738589259
157,0.05,1.5,0.5,0.1,0.682809738589259
158,0.05,1.5,0.5,0.5,0.682809738589259
159,0.05,1.5,0.5,1.0,0.7102480852035875
160,0.05,1.5,0.5,1.5,0.721959210497248
161,0.05,1.5,0.5,2.0,0.721959210497248
162,0.05,1.5,1.0,0.05,0.7758116077342019
163,0.05,1.5,1.0,0.1,0.7758116077342019
164,0.05,1.5,1.0,0.5,0.7758116077342019
165,0.05,1.5,1.0,1.0,0.682809738589259
166,0.05,1.5,1.0,1.5,0.682809738589259
167,0.05,1.5,1.0,2.0,0.7102480852035875
168,0.05,1.5,1.5,0.05,0.7740634503681215
169,0.05,1.5,1.5,0.1,0.7740634503681215
170,0.05,1.5,1.5,0.5,0.7206635100744899
171,0.05,1.5,1.5,1.0,0.7615944850034483
172,0.05,1.5,1.5,1.5,0.7615944850034483
173,0.05,1.5,1.5,2.0,0.7615944850034483
174,0.05,1.5,2.0,0.05,0.7740634503681215
175,0.05,1.5,2.0,0.1,0.7740634503681215
176,0.05,1.5,2.0,0.5,0.7740634503681215
177,0.05,1.5,2.0,1.0,0.7740634503681215
178,0.05,1.5,2.0,1.5,0.7740634503681215
179,0.05,1.5,2.0,2.0,0.7206635100744899
180,0.05,2.0,0.05,0.05,0.7977072310405636
181,0.05,2.0,0.05,0.1,0.7977072310405636
182,0.05,2.0,0.05,0.5,0.7977072310405636
183,0.05,2.0,0.05,1.0,0.7977072310405636
184,0.05,2.0,0.05,1.5,0.7977072310405636
185,0.05,2.0,0.05,2.0,0.7977072310405636
186,0.05,2.0,0.1,0.05,0.7977072310405636
187,0.05,2.0,0.1,0.1,0.7977072310405636
188,0.05,2.0,0.1,0.5,0.7977072310405636
189,0.05,2.0,0.1,1.0,0.7977072310405636
190,0.05,2.0,0.1,1.5,0.7977072310405636
191,0.05,2.0,0.1,2.0,0.7977072310405636
192,0.05,2.0,0.5,0.05,0.7149169086727246
193,0.05,2.0,0.5,0.1,0.7149169086727246
194,0.05,2.0,0.5,0.5,0.752891217993387
195,0.05,2.0,0.5,1.0,0.752891217993387
196,0.05,2.0,0.5,1.5,0.752891217993387
197,0.05,2.0,0.5,2.0,0.761228604806387
198,0.05,2.0,1.0,0.05,0.7199895801859816
199,0.05,2.0,1.0,0.1,0.7206189824066627
200,0.05,2.0,1.0,0.5,0.7206189824066627
201,0.05,2.0,1.0,1.0,0.7149169086727246
202,0.05,2.0,1.0,1.5,0.752891217993387
203,0.05,2.0,1.0,2.0,0.752891217993387
204,0.05,2.0,1.5,0.05,0.6543380774143738
205,0.05,2.0,1.5,0.1,0.6543380774143738
206,0.05,2.0,1.5,0.5,0.6460158741353106
207,0.05,2.0,1.5,1.0,0.6460158741353106
208,0.05,2.0,1.5,1.5,0.6460158741353106
209,0.05,2.0,1.5,2.0,0.6460158741353106
210,0.05,2.0,2.0,0.05,0.7606781217736813
211,0.05,2.0,2.0,0.1,0.7606781217736813
212,0.05,2.0,2.0,0.5,0.6543380774143738
213,0.05,2.0,2.0,1.0,0.6543380774143738
214,0.05,2.0,2.0,1.5,0.6543380774143738
215,0.05,2.0,2.0,2.0,0.6460158741353106
216,0.1,0.05,0.05,0.05,0.7977072310405636
217,0.1,0.05,0.05,0.1,0.7977072310405636
218,0.1,0.05,0.05,0.5,0.7977072310405636
219,0.1,0.05,0.05,1.0,0.7977072310405636
220,0.1,0.05,0.05,1.5,0.7977072310405636
221,0.1,0.05,0.05,2.0,0.7977072310405636
222,0.1,0.05,0.1,0.05,0.7977072310405636
223,0.1,0.05,0.1,0.1,0.7977072310405636
224,0.1,0.05,0.1,0.5,0.7977072310405636
225,0.1,0.05,0.1,1.0,0.7977072310405636
226,0.1,0.05,0.1,1.5,0.7977072310405636
227,0.1,0.05,0.1,2.0,0.7977072310405636
228,0.1,0.05,0.5,0.05,0.7977072310405636
229,0.1,0.05,0.5,0.1,0.7977072310405636
230,0.1,0.05,0.5,0.5,0.7977072310405636
231,0.1,0.05,0.5,1.0,0.7977072310405636
232,0.1,0.05,0.5,1.5,0.7977072310405636
233,0.1,0.05,0.5,2.0,0.571284924990842
234,0.1,0.05,1.0,0.05,0.7977072310405636
235,0.1,0.05,1.0,0.1,0.7977072310405636
236,0.1,0.05,1.0,0.5,0.7977072310405636
237,0.1,0.05,1.0,1.0,0.7977072310405636
238,0.1,0.05,1.0,1.5,0.7977072310405636
239,0.1,0.05,1.0,2.0,0.7977072310405636
240,0.1,0.05,1.5,0.05,0.5468289062272109
241,0.1,0.05,1.5,0.1,0.5319931003359831
242,0.1,0.05,1.5,0.5,0.5637818882180697
243,0.1,0.05,1.5,1.0,0.5585375106944516
244,0.1,0.05,1.5,1.5,0.48546638754720456
245,0.1,0.05,1.5,2.0,0.450118750244465
246,0.1,0.05,2.0,0.05,0.3998411161173791
247,0.1,0.05,2.0,0.1,0.3998411161173791
248,0.1,0.05,2.0,0.5,0.42006677510164037
249,0.1,0.05,2.0,1.0,0.4091728040005777
250,0.1,0.05,2.0,1.5,0.46827898041103355
251,0.1,0.05,2.0,2.0,0.46611791057118335
252,0.1,0.1,0.05,0.05,0.7977072310405636
253,0.1,0.1,0.05,0.1,0.7977072310405636
254,0.1,0.1,0.05,0.5,0.7977072310405636
255,0.1,0.1,0.05,1.0,0.7977072310405636
256,0.1,0.1,0.05,1.5,0.7977072310405636
257,0.1,0.1,0.05,2.0,0.7977072310405636
258,0.1,0.1,0.1,0.05,0.7977072310405636
259,0.1,0.1,0.1,0.1,0.7977072310405636
260,0.1,0.1,0.1,0.5,0.7977072310405636
261,0.1,0.1,0.1,1.0,0.7977072310405636
262,0.1,0.1,0.1,1.5,0.7977072310405636
263,0.1,0.1,0.1,2.0,0.7977072310405636
264,0.1,0.1,0.5,0.05,0.7977072310405636
265,0.1,0.1,0.5,0.1,0.7977072310405636
266,0.1,0.1,0.5,0.5,0.7977072310405636
267,0.1,0.1,0.5,1.0,0.7977072310405636
268,0.1,0.1,0.5,1.5,0.571284924990842
269,0.1,0.1,0.5,2.0,0.5978952038067484
270,0.1,0.1,1.0,0.05,0.7977072310405636
271,0.1,0.1,1.0,0.1,0.7977072310405636
272,0.1,0.1,1.0,0.5,0.7977072310405636
273,0.1,0.1,1.0,1.0,0.7977072310405636
274,0.1,0.1,1.0,1.5,0.7977072310405636
275,0.1,0.1,1.0,2.0,0.7977072310405636
276,0.1,0.1,1.5,0.05,0.5402914815639187
277,0.1,0.1,1.5,0.1,0.5402914815639187
278,0.1,0.1,1.5,0.5,0.5585375106944516
279,0.1,0.1,1.5,1.0,0.48546638754720456
280,0.1,0.1,1.5,1.5,0.450118750244465
281,0.1,0.1,1.5,2.0,0.3108135029352048
282,0.1,0.1,2.0,0.05,0.41665169869327356
283,0.1,0.1,2.0,0.1,0.41665169869327356
284,0.1,0.1,2.0,0.5,0.4091728040005777
285,0.1,0.1,2.0,1.0,0.46827898041103355
286,0.1,0.1,2.0,1.5,0.46611791057118335
287,0.1,0.1,2.0,2.0,0.4970362551213267
288,0.1,0.5,0.05,0.05,0.7977072310405636
289,0.1,0.5,0.05,0.1,0.7977072310405636
290,0.1,0.5,0.05,0.5,0.7977072310405636
291,0.1,0.5,0.05,1.0,0.7977072310405636
292,0.1,0.5,0.05,1.5,0.7977072310405636
293,0.1,0.5,0.05,2.0,0.7977072310405636
294,0.1,0.5,0.1,0.05,0.7977072310405636
