,DAY_NO,FTRL_OPG_CHOICE,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CHOICE,FTRL_RDA_CUMILATIVE_GAIN,FTL_CHOICE,FTL_CUMILATIVE_GAIN,FTRL_EXP_OPG_CHOICE,FTRL_EXP_OPG_CUMILATIVE_GAIN,FTRL_MOVING_OPG_CHOICE,FTRL_MOVING_OPG_CUMILATIVE_GAIN,FTL_MOVING_OPG_CHOICE,FTL_MOVING_OPG_CUMILATIVE_GAIN
0,1,0,0.01393105911769961,0,0.01393105911769961,0,0.01393105911769961,0,0.01393105911769961,0,0.01393105911769961,0,0.01393105911769961
1,2,0,0.008126451151991397,0,0.008126451151991397,0,0.008126451151991397,0,0.008126451151991397,0,0.008126451151991397,0,0.008126451151991397
2,3,0,-0.011519914270405485,0,-0.011519914270405485,0,-0.011519914270405485,0,-0.011519914270405485,0,-0.011519914270405485,0,-0.011519914270405485
3,4,0,0.014645472405786751,0,0.014645472405786751,0,0.014645472405786751,0,0.014645472405786751,0,0.014645472405786751,0,0.014645472405786751
4,5,0,0.021164493659581982,0,0.021164493659581982,0,0.021164493659581982,0,0.021164493659581982,0,0.021164493659581982,0,0.021164493659581982
5,6,0,0.060635827826397495,0,0.060635827826397495,0,0.060635827826397495,0,0.060635827826397495,0,0.060635827826397495,0,0.060635827826397495
6,7,0,0.08225575995713519,0,0.08225575995713519,0,0.08225575995713519,0,0.08225575995713519,0,0.08225575995713519,0,0.08225575995713519
7,8,0,0.05733166636899448,0,0.05733166636899448,0,0.05733166636899448,0,0.05733166636899448,0,0.05733166636899448,0,0.05733166636899448
8,9,0,0.08349705304518659,0,0.08349705304518659,0,0.08349705304518659,0,0.08349705304518659,0,0.08349705304518659,0,0.08349705304518659
9,10,0,0.09546347562064653,0,0.09546347562064653,0,0.09546347562064653,0,0.09546347562064653,0,0.09546347562064653,0,0.09546347562064653
10,11,0,0.10412573673870332,0,0.10412573673870332,0,0.10412573673870332,0,0.10412573673870332,0,0.10412573673870332,0,0.10412573673870332
11,12,0,0.10795677799607072,0,0.10795677799607072,0,0.10795677799607072,0,0.10795677799607072,0,0.10795677799607072,0,0.10795677799607072
